Designator,Footprint,Quantity,Value,LCSC Part #,MFG Part #,Notes
"C1, C13, C37, C45, C6, C7",0402,6,1u,,GRM155R61H105KE05D,
C10,0402,1,20p,,GRM1555C1H200JA01D,
"C11, C12, C15, C16, C17, C19, C2, C20, C21, C22, C23, C24, C28, C33, C38, C40, C44, C46, C54, C55, C56, C57, C58, C59, C60, C62, C63, C64, C65, C66",0402,30,100n,,GCM155R71H104KE02J,
"C14, C36, C51, C68, C70, C72",0805,6,4.7u,,GRM21BR61H475KE51L,
"C18, C27",CP_Elec_6.3x7.7,2,47u,,865080543009,
"C25, C34, C42, C8, C9",0805,5,10u,,GRM21BR61H106KE43L,
"C26, C35",0402,2,220n,,GRM155R61J224KE01J,
"C29, C30, C31, C32, C39, C41, C47, C49",0805,8,22u,,C2012X5R1V226M125AC,
"C3, C67, C69, C71",0402,4,2.2u,,C1005X5R1V225K050BC,
"C4, C5",0402,2,4.3pF,,GJM1555C1H4R3CB01D,
"C43, C52",0402,2,10n,,GCM155R71H103KA55D,
"D1, D2",SOT-323_SC-70,2,SP0502BAJT,,SP0502BAJTG,
D4,SOT-23,1,MMBZ5242BLT3G,,MMBZ5242BLT3G,
"J3, J4, J5, J6",1-1337445-0,4,Conn_01x02,,1-1337445-0,
"L1, L2",IND_223NLT_PUL,2,3.3u,,PA4340.332ANLT,
Q1,Diodes_PowerDI3333-8,1,DMP3013SFV-7,,DMP3013SFV-7,
"R1, R10, R17, R22, R5, R7",0402,6,10k,,RNCF0402TKY10K0,
"R11, R16, R4, R8",0402,4,1k,,RNCF0402TKY1K00,
R12,0402,1,1.6k,,RC0402FR-071K6L,
"R13, R14, R26",0402,3,12k,,RC0402FR-0712KL,
R15,0402,1,100R,,RNCF0402TKY100R,
"R18, R2, R3",0402,3,100k,,TNPU0402100KAYEP00,
"R6, R9",0402,2,24.9k,,RC0402FR-0724K9L,
SW3,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,,EG1224,
U1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,KC2016Z20.0000C15XXK,,KC2016Z20.0000C15XXK,
"U10, U2, U21, U3",N_8_ADI,4,AMP03GPZ,,AMP03GPZ,
"U11, U12, U8, U9",SOT-353_SC-70-5,4,TMUX1101DCK,,TMUX1101DCKR,
"U13, U15",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33640DDDA,,LMR33640DDDAR,
"U14, U16, U20",DIP-8_W7.62mm,3,LF353N/NOPB,,LM833N/NOPB,
U19,MSOP-10_3x3mm_P0.5mm,1,AD9833xRM,,AD9833BRMZ,
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,,STM32F446RET6TR,
U6,SOT-223-3_TabPin2,1,LM1117MP-ADJ,,LM1117MP-ADJ/NOPB,
Y1,XTAL_CG04874_NDK-L,1,8 MHz,,CG04874-8M,
