Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C37, C45, C50, C6, C7",0402,7,1u,
C10,0402,1,20p,
"C11, C12, C15, C16, C17, C19, C2, C20, C21, C22, C23, C24, C28, C33, C38, C40, C44, C46, C48, C54, C55, C56, C57, C58, C59, C60, C62, C63, C64, C65, C66",0402,31,100n,
"C14, C36, C51, C53, C68, C70, C72",0805,7,4.7u,
"C18, C27",CP_Elec_6.3x7.7,2,47u,
"C25, C34, C42, C8, C9",0805,5,10u,
"C26, C35",0402,2,220n,
"C29, C30, C31, C32, C39, C41, C47, C49",0805,8,22u,
"C3, C67, C69, C71",0402,4,2.2u,
"C4, C5",0402,2,4.3pF,
"C43, C52",0402,2,10n,
"D1, D2",SOT-323_SC-70,2,SP0502BAJT,
D4,SOT-23,1,MMBZ5242BLT3G,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J3, J4, J5, J6",1-1337445-0,4,Conn_01x02,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"JP1, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,4,Jumper_2_Open,
"L1, L2",IND_223NLT_PUL,2,3.3u,
Q1,Diodes_PowerDI3333-8,1,DMP3013SFV-7,
"R1, R10, R17, R22, R5, R7",0402,6,10k,
"R11, R16, R4, R8",0402,4,1k,
R12,0402,1,1.6k,
"R13, R14, R26",0402,3,12k,
R15,0402,1,100R,
"R18, R2, R3",0402,3,100k,
"R6, R9",0402,2,24.9k,
"SW1, SW2",SW_PUSH_6mm_H5mm,2,SW_Push,
SW3,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,
U1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,KC2016Z20.0000C15XXK,
"U10, U2, U21, U3",N_8_ADI,4,AMP03GPZ,
"U11, U12, U8, U9",SOT-353_SC-70-5,4,TMUX1101DCK,
"U13, U15",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33640DDDA,
"U14, U16, U20",DIP-8_W7.62mm,3,LF353N/NOPB,
U17,DIP-8_W7.62mm,1,MCP3202,
U19,MSOP-10_3x3mm_P0.5mm,1,AD9833xRM,
U4,CR2013-MI2120,1,CR2013-MI2120,
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U6,SOT-223-3_TabPin2,1,LM1117MP-ADJ,
Y1,XTAL_CG04874_NDK-L,1,8 MHz,
